article,comment,created,likes,dislikes
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"An den Entscheidungen von VW, GM und Ford, die ja alle in den letzten Monaten  weitreichende Entscheidungen zum Ladenetz getroffen haben. 
Das Tesla auch erst vor wenigen Tagen angekündigt hat, auch in Europa den Buster  zu zünden , haben wir ja alle mitbekommen.",2021-11-02T10:21:04,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,Beim 3 Absatz bin ich mir nicht so sicher.,2021-11-01T18:52:24,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Ich würde ja vermuten, dass bei TESLA ein...zwei Ing. angestellt sind, die schonmal etwas von Normung gehört haben. Eventuell gibt es auch den einen oder anderen Mitarbeiter, der mit einem gemieteten Fremdfahrzeug das hätte schonmal testen können....


#Kopfschüttel#",2021-11-01T16:12:25,4,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,OT: Habe soeben live mitverfolgt wie tsla gerade die 1200 geknackt hat....,2021-11-01T19:55:07,1,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"1.207 $. 

Glückwunsch den Glückspilzen. 

1.209 $ 

Das sind > 6.000 $ in der alten Aktie.  Da wäre ein Einstig bei 420 $ echt ein Schnäppchen gewesen.",2021-11-01T20:02:14,6,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Jipppii, was für 7 Tage 🍾🍾🍾",2021-11-01T23:24:19,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,1211,2021-11-01T20:02:50,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,,2021-11-01T20:35:25,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Ja, denke ich auch.",2021-11-01T20:43:59,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Wenn ich hätte tippen müssen, ich hätte auf Norwegen getippt.
Nun die Niederlande.


Ich bin gespannt, wie das weitergeht.",2021-11-01T15:21:17,1,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,,2021-11-01T20:33:37,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,"Solch ""Mist! Mit meinem Auto kann ich aber nur grütze am SuC laden..."" fliesst vielleicht in die nächste Kaufentscheidung mit ein...   ;-))",2021-11-02T11:17:53,0,0
Supercharger-Öffnung: Tesla testet in Niederlanden mit zehn Standorten > teslamag.de,,2021-11-02T11:25:49,0,0
